game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year
mexico-city-1968,1968-10-28 04:00:00,1968-10-12 16:00:00,Mexico,Mexico City 1968,Summer,1968
grenoble-1968,1968-02-18 19:00:00,1968-02-06 07:00:00,France,Grenoble 1968,Winter,1968
tokyo-1964,1964-10-24 11:00:00,1964-10-09 23:00:00,Japan,Tokyo 1964,Summer,1964
innsbruck-1964,1964-02-09 19:00:00,1964-01-29 07:00:00,Austria,Innsbruck 1964,Winter,1964
rome-1960,1960-09-11 19:00:00,1960-08-25 07:00:00,Italy,Rome 1960,Summer,1960
squaw-valley-1960,1960-02-28 04:00:00,1960-02-18 16:00:00,United States,Squaw Valley 1960,Winter,1960
"melbourne-1956,1956-12-08 10:00:00,1956-11-21 22:00:00,""Australia, Sweden"",Melbourne 1956,Summer,1956"
cortina-d-ampezzo-1956,1956-02-05 19:00:00,1956-01-26 07:00:00,Italy,Cortina d'Ampezzo 1956,Winter,1956
helsinki-1952,1952-08-03 07:00:00,1952-07-19 07:00:00,Finland,Helsinki 1952,Summer,1952
oslo-1952,1952-02-25 19:00:00,1952-02-14 07:00:00,Norway,Oslo 1952,Winter,1952
london-1948,1948-08-14 19:00:00,1948-07-29 07:00:00,Great Britain,London 1948,Summer,1948
st-moritz-1948,1948-02-08 19:00:00,1948-01-30 07:00:00,Switzerland,St. Moritz 1948,Winter,1948
berlin-1936,1936-08-16 19:00:00,1936-08-01 07:00:00,Germany,Berlin 1936,Summer,1936
garmisch-partenkirchen-1936,1936-02-16 20:00:00,1936-02-06 08:00:00,Germany,Garmisch-Partenkirchen 1936,Winter,1936
los-angeles-1932,1932-08-14 19:00:00,1932-07-30 16:00:00,United States,Los Angeles 1932,Summer,1932
lake-placid-1932,1932-02-15 18:00:00,1932-02-04 13:00:00,United States,Lake Placid 1932,Winter,1932
amsterdam-1928,1928-08-12 19:00:00,1928-05-17 07:00:00,Netherlands,Amsterdam 1928,Summer,1928
st-moritz-1928,1928-02-19 08:00:00,1928-02-11 08:00:00,Switzerland,St. Moritz 1928,Winter,1928
paris-1924,1924-07-27 19:00:00,1924-05-04 07:00:00,France,Paris 1924,Summer,1924
chamonix-1924,1924-02-05 20:00:00,1924-01-25 08:00:00,France,Chamonix 1924,Winter,1924
antwerp-1920,1920-09-12 19:00:00,1920-04-20 07:00:00,Belgium,Antwerp 1920,Summer,1920
stockholm-1912,1912-07-27 20:00:00,1912-05-05 08:00:00,Sweden,Stockholm 1912,Summer,1912
london-1908,1908-10-31 20:09:00,1908-04-27 08:00:00,Great Britain,London 1908,Summer,1908
st-louis-1904,1904-11-24 02:00:00,1904-07-01 14:00:00,United States,St. Louis 1904,Summer,1904
paris-1900,1900-10-28 19:50:39,1900-05-14 08:50:39,France,Paris 1900,Summer,1900
athens-1896,1896-04-15 11:39:39,1896-04-06 11:38:39,Greece,Athens 1896,Summer,1896
